Country,Year,Population_Growth_Rate,Exports of goods and services_Growth_Rate,Imports of goods and services_Growth_Rate,Gross capital formation_Growth_Rate,Final consumption expenditure_Growth_Rate,Government_Expenditure_Growth_Rate,GDP_Growth_Rate
Albania,1998,-0.6621346219510601,30.0411960654352,18.3946342393919,47.3129251525033,11.3248372555323,18.04505292607854,14.843412064409804
Albania,1999,-0.7399042440461959,83.8827209191153,17.2509816780773,40.0313192746714,14.0451802037356,22.52068778982624,26.099239160276298
Albania,2008,-7.99720097498332,100.0,100.0,100.0,100.0,100.0,100.0
Albania,2009,-0.7164711458422559,-6.72679828383706,-10.614026236682099,-9.68868805982001,-7.999912558790469,0.08176259592087565,-6.49886490354939
Albania,2010,-0.584943189670439,9.77110518505273,-3.53629908691864,-13.14965871819,-3.88647874512392,-0.546320894913066,-0.9735972903409208
Albania,2011,-0.437461535477978,12.9572433962153,15.677862228876,12.022024953313196,8.09022254323763,6.307245232658553,8.08190843162375
Albania,2012,-0.291692838925294,-5.423932686071,-12.5283992119099,-13.8158286814008,-4.924689677527018,-5.556666776089458,-4.43021744679664
Albania,2013,-0.179068271031701,3.62958055215882,2.3641138670998,2.69488068472358,6.32481094561745,5.433222752382827,3.70543263494569
Albania,2014,-0.100865461684629,1.01921076600752,4.06103571612912,-5.2386243020487315,4.88420409017729,7.541456400659353,3.5374875542281496
Albania,2015,-0.0562046695990692,-16.8047148549722,-18.773485824355106,-13.435582819051099,-14.3244328358207,-16.484519048752265,-13.919578228120502
Albania,2016,-0.0491937327600777,10.7008677898535,7.203318722517071,1.76500119160678,4.64861760100971,5.654098064001789,4.1664593744553
Albania,2017,-0.0592836741161173,19.583858290388697,11.6639337389481,9.020561099009884,8.42831147762495,11.99727144042171,9.76594380065478
Albania,2018,-0.0813376606913718,16.4191527563829,12.9451125189849,11.103146791698599,15.5012578554095,14.266625256088213,16.4113244716465
Albania,2019,-0.108793390923156,0.757545449506502,1.0321306207401402,-2.1957426475689097,2.6903509484074104,2.163075321740404,1.6190220956773895
Albania,2020,-0.244755962577458,-28.7443562613689,-18.6326659108026,-0.9521549331991108,-0.601527332904217,2.7989142838136027,-1.7527779342383
Algeria,1972,2.3350153941054703,48.0260832496054,23.086229922867304,28.81717703833,28.6583534772929,28.27095457378537,33.7968246017298
Algeria,1973,2.40115686229427,60.5369633717276,59.229499707978704,50.9662393381775,19.951383491659602,12.105820538574743,28.6102460184461
Algeria,1974,2.48289838500321,100.0,69.9124058593398,55.332371488271505,20.5028117526834,24.916714674293594,43.6653024649264
Algeria,1975,3.768674932864141,2.44988628362961,42.7950228063595,33.4933028792805,31.8417531577185,42.31593127806414,17.313900311194402
Algeria,1976,4.93379456971239,11.5594496507128,-1.5782473794193,8.779247098529767,8.6990766393364,10.022282334957168,14.1074138588044
Algeria,1977,3.84034050813926,9.44172457517491,33.1844297179144,28.3655225725907,24.9237037551917,25.85654807836275,18.2585956064645
Algeria,1978,2.909112959630649,5.09191782331659,20.7299931944444,39.9346946787729,21.7960536668991,31.708669697347048,25.6435513013449
Algeria,1979,3.03037916319417,53.9006151139322,3.23707515281035,2.56504803818098,19.4124834682614,23.24257470746025,25.8881223721294
Algeria,1980,3.15075465758454,40.40291897512321,17.7257603974129,17.162284894642,22.3088855044226,28.393153542432195,27.2601629259393
Algeria,1981,3.26573806238392,5.45585645144262,6.4712065571409,-0.8303407607861741,9.09659058263341,4.840760753666706,4.76277090563566
Algeria,1982,3.35242122813401,-8.800418717133551,-4.182794201158799,2.61459311743756,4.48485751557927,9.337150677300563,1.87569785370267
Algeria,1983,3.41005863171857,-2.43176827155777,-4.02120758476027,8.8831760602418,7.0297929546886095,8.508313187587289,7.99949367026033
